# FIT DURATION: 0.005
# RUN	 PULSE	 FULL FIT FREQ	 FULL FIT CHISQ	 FULL FIT RMS	 NOISE		 PHASE FREQ	 PHASE - FULL	 PHASE-FILT FREQ	 PHASE-FILT - FULL
8	 1	 9686.365	 1.52924	 2.8361e-03	 2.2934e-03	 9687.85008	 1.48509	 9686.28152		 -0.08348
8	 2	 9685.740	 1.27915	 2.5983e-03	 2.2973e-03	 9687.62398	 1.88364	 9685.47203		 -0.26832
8	 3	 9686.181	 1.26717	 2.6267e-03	 2.3334e-03	 9688.13647	 1.95542	 9686.04365		 -0.13740
8	 4	 9686.475	 1.18472	 2.5275e-03	 2.3221e-03	 9687.57951	 1.10430	 9686.87079		 0.39558
8	 6	 9685.895	 1.32575	 2.6617e-03	 2.3117e-03	 9687.47736	 1.58207	 9685.71254		 -0.18274
8	 7	 9686.136	 1.29144	 2.5685e-03	 2.2602e-03	 9686.78941	 0.65375	 9685.71618		 -0.41947
8	 8	 9686.655	 1.39102	 2.6790e-03	 2.2715e-03	 9688.14629	 1.49100	 9686.26419		 -0.39110
8	 9	 9685.023	 1.21166	 2.5793e-03	 2.3432e-03	 9686.32569	 1.30312	 9685.39444		 0.37187
8	 11	 9686.057	 1.35108	 2.6560e-03	 2.2850e-03	 9686.96133	 0.90415	 9686.28911		 0.23192
8	 12	 9686.677	 1.38764	 2.5811e-03	 2.1911e-03	 9687.81613	 1.13904	 9686.43635		 -0.24075
8	 13	 9686.156	 1.15300	 2.5049e-03	 2.3328e-03	 9687.43781	 1.28201	 9686.10544		 -0.05036
8	 14	 9684.905	 1.31818	 2.5904e-03	 2.2562e-03	 9686.14016	 1.23561	 9684.72395		 -0.18059
8	 16	 9685.437	 1.14895	 2.5578e-03	 2.3863e-03	 9685.70782	 0.27096	 9685.11750		 -0.31935
8	 17	 9685.850	 1.25708	 2.5518e-03	 2.2760e-03	 9688.19366	 2.34340	 9685.86889		 0.01862
8	 18	 9686.294	 1.32956	 2.5809e-03	 2.2383e-03	 9687.58256	 1.28878	 9686.09182		 -0.20196
8	 19	 9686.584	 1.23828	 2.5608e-03	 2.3013e-03	 9687.27003	 0.68578	 9686.48520		 -0.09906
8	 21	 9686.022	 1.34555	 2.6203e-03	 2.2589e-03	 9687.40557	 1.38389	 9685.82312		 -0.19855
8	 22	 9686.785	 1.33816	 2.6719e-03	 2.3098e-03	 9687.27740	 0.49260	 9686.37426		 -0.41054
8	 23	 9685.582	 1.34944	 2.6544e-03	 2.2850e-03	 9687.18126	 1.59878	 9685.71990		 0.13743
8	 24	 9685.956	 1.25740	 2.5935e-03	 2.3128e-03	 9686.71772	 0.76140	 9685.49247		 -0.46384
8	 26	 9686.413	 1.35332	 2.6198e-03	 2.2520e-03	 9687.14784	 0.73526	 9686.21219		 -0.20039
8	 27	 9687.038	 1.31350	 2.5563e-03	 2.2305e-03	 9688.12095	 1.08291	 9686.70715		 -0.33090
8	 28	 9686.634	 1.26157	 2.5765e-03	 2.2939e-03	 9687.78077	 1.14678	 9686.46886		 -0.16514
8	 29	 9685.998	 1.34233	 2.6339e-03	 2.2733e-03	 9687.10444	 1.10597	 9686.10431		 0.10583
8	 31	 9686.326	 1.23066	 2.5412e-03	 2.2907e-03	 9687.52280	 1.19647	 9686.50511		 0.17878
8	 32	 9687.176	 1.32371	 2.6398e-03	 2.2944e-03	 9689.52338	 2.34778	 9686.64757		 -0.52804
8	 33	 9686.310	 1.26651	 2.5599e-03	 2.2747e-03	 9687.85983	 1.54971	 9686.18771		 -0.12241
8	 34	 9685.205	 1.34020	 2.6056e-03	 2.2507e-03	 9685.69531	 0.49067	 9685.59494		 0.39030
8	 36	 9685.818	 1.27115	 2.5879e-03	 2.2953e-03	 9687.11625	 1.29807	 9685.64049		 -0.17768
8	 37	 9686.883	 1.41253	 2.6628e-03	 2.2405e-03	 9687.94744	 1.06414	 9686.92883		 0.04553
8	 38	 9686.679	 1.31062	 2.5910e-03	 2.2633e-03	 9687.45576	 0.77703	 9686.58242		 -0.09631
8	 39	 9686.832	 1.34055	 2.6624e-03	 2.2995e-03	 9688.05118	 1.21959	 9686.46795		 -0.36363
8	 41	 9686.167	 1.33025	 2.6564e-03	 2.3032e-03	 9687.50026	 1.33359	 9685.81356		 -0.35311
8	 42	 9686.892	 1.20860	 2.5648e-03	 2.3330e-03	 9687.12078	 0.22871	 9686.24931		 -0.64276
8	 43	 9686.503	 1.29984	 2.5625e-03	 2.2476e-03	 9686.55388	 0.05120	 9686.01110		 -0.49158
8	 44	 9686.250	 1.32194	 2.6065e-03	 2.2670e-03	 9686.61450	 0.36488	 9686.38049		 0.13087
8	 46	 9687.089	 1.44079	 2.6385e-03	 2.1981e-03	 9687.78419	 0.69557	 9687.01105		 -0.07757
8	 47	 9686.896	 1.41192	 2.6812e-03	 2.2565e-03	 9688.12585	 1.22968	 9686.51860		 -0.37757
8	 48	 9685.753	 1.26415	 2.5308e-03	 2.2509e-03	 9686.79814	 1.04527	 9685.89173		 0.13887
8	 49	 9685.357	 1.31371	 2.6793e-03	 2.3376e-03	 9686.14422	 0.78771	 9684.67791		 -0.67860
8	 51	 9686.038	 1.38257	 2.6663e-03	 2.2676e-03	 9686.47323	 0.43493	 9685.23879		 -0.79951
8	 52	 9687.065	 1.33227	 2.6188e-03	 2.2688e-03	 9688.00224	 0.93715	 9686.64537		 -0.41971
