# FIT DURATION: 0.011
# RUN	 PULSE	 FULL FIT FREQ	 FULL FIT CHISQ	 FULL FIT RMS	 NOISE		 PHASE FREQ	 PHASE - FULL	 PHASE-FILT FREQ	 PHASE-FILT - FULL
8	 63	 9686.085	 1.32724	 2.5756e-03	 2.2357e-03	 9686.22198	 0.13678	 9685.86255		 -0.22265
8	 64	 9685.309	 1.22946	 2.4943e-03	 2.2495e-03	 9685.76342	 0.45436	 9685.63300		 0.32394
8	 66	 9685.301	 1.16714	 2.5387e-03	 2.3499e-03	 9685.76366	 0.46301	 9685.48063		 0.17997
8	 67	 9685.739	 1.22355	 2.4694e-03	 2.2325e-03	 9685.57775	 -0.16082	 9685.64807		 -0.09050
8	 68	 9684.982	 1.13265	 2.4686e-03	 2.3196e-03	 9684.89874	 -0.08362	 9684.85445		 -0.12791
8	 69	 9685.595	 1.28452	 2.5964e-03	 2.2909e-03	 9686.67952	 1.08484	 9685.89694		 0.30226
#8	 71	 9685.558	 3.55866	 2.2047e-03	 1.1687e-03	 9051.62675	 -633.93170	 8252.11891		 -1433.43954
8	 72	 9685.794	 1.29738	 2.6101e-03	 2.2915e-03	 9687.05448	 1.26045	 9686.14535		 0.35132
8	 73	 9685.590	 1.27080	 2.6180e-03	 2.3224e-03	 9685.91732	 0.32749	 9685.73214		 0.14232
8	 74	 9685.473	 1.32697	 2.6162e-03	 2.2711e-03	 9685.27306	 -0.19984	 9685.60285		 0.12995
8	 76	 9685.730	 1.28908	 2.5842e-03	 2.2761e-03	 9686.92641	 1.19591	 9685.70703		 -0.02347
8	 77	 9685.743	 1.21519	 2.5202e-03	 2.2862e-03	 9685.94328	 0.20021	 9685.95974		 0.21668
8	 78	 9685.219	 1.15296	 2.5006e-03	 2.3289e-03	 9685.58772	 0.36824	 9685.52838		 0.30889
8	 79	 9685.806	 1.19284	 2.5711e-03	 2.3541e-03	 9686.43192	 0.62618	 9685.88847		 0.08273
8	 81	 9685.481	 1.35203	 2.6134e-03	 2.2476e-03	 9685.91236	 0.43109	 9685.74729		 0.26602
8	 82	 9685.430	 1.29795	 2.6011e-03	 2.2831e-03	 9685.38884	 -0.04116	 9685.66520		 0.23521
8	 83	 9685.314	 1.33233	 2.5898e-03	 2.2437e-03	 9685.39241	 0.07886	 9685.20754		 -0.10601
8	 84	 9685.450	 1.23335	 2.4915e-03	 2.2435e-03	 9685.94699	 0.49732	 9685.54646		 0.09679
8	 86	 9685.938	 1.20905	 2.5380e-03	 2.3082e-03	 9686.36921	 0.43072	 9685.94654		 0.00804
8	 87	 9685.860	 1.35402	 2.6258e-03	 2.2565e-03	 9686.20586	 0.34587	 9686.05118		 0.19119
8	 88	 9685.788	 1.26274	 2.5611e-03	 2.2791e-03	 9686.28267	 0.49488	 9685.93283		 0.14504
8	 89	 9685.719	 1.22436	 2.5291e-03	 2.2856e-03	 9686.12163	 0.40310	 9686.01948		 0.30095
8	 91	 9685.500	 1.16349	 2.4838e-03	 2.3027e-03	 9685.65307	 0.15305	 9685.79747		 0.29745
8	 92	 9685.107	 1.28643	 2.5805e-03	 2.2751e-03	 9685.50109	 0.39385	 9685.20708		 0.09984
8	 93	 9685.072	 1.30040	 2.5602e-03	 2.2451e-03	 9685.52890	 0.45690	 9685.23280		 0.16081
8	 94	 9685.547	 1.20038	 2.5715e-03	 2.3471e-03	 9685.70478	 0.15756	 9685.76965		 0.22243
8	 96	 9685.365	 1.27791	 2.5615e-03	 2.2659e-03	 9685.90203	 0.53670	 9685.62502		 0.25969
8	 97	 9685.677	 1.29985	 2.6129e-03	 2.2918e-03	 9686.18687	 0.51007	 9685.81317		 0.13636
8	 98	 9685.642	 1.21332	 2.5574e-03	 2.3217e-03	 9685.96824	 0.32638	 9685.65180		 0.00994
8	 99	 9685.654	 1.28303	 2.5742e-03	 2.2726e-03	 9686.55220	 0.89788	 9685.72177		 0.06745
