# FIT DURATION: 0.013
# RUN	 PULSE	 FULL FIT FREQ	 FULL FIT CHISQ	 FULL FIT RMS	 NOISE		 PHASE FREQ	 PHASE - FULL	 PHASE-FILT FREQ	 PHASE-FILT - FULL
8	 1	 9685.463	 1.37396	 2.6882e-03	 2.2934e-03	 9685.64115	 0.17837	 9685.35698		 -0.10580
8	 2	 9685.504	 1.14152	 2.4545e-03	 2.2973e-03	 9685.77495	 0.27075	 9685.46571		 -0.03848
8	 3	 9685.420	 1.16000	 2.5131e-03	 2.3334e-03	 9685.46989	 0.04948	 9685.37982		 -0.04059
8	 4	 9685.697	 1.15978	 2.5008e-03	 2.3221e-03	 9685.77769	 0.08115	 9685.87989		 0.18335
8	 6	 9685.389	 1.16793	 2.4983e-03	 2.3117e-03	 9685.77520	 0.38590	 9685.27847		 -0.11083
8	 7	 9685.337	 1.18337	 2.4587e-03	 2.2602e-03	 9685.28207	 -0.05472	 9685.29388		 -0.04291
8	 8	 9685.758	 1.31400	 2.6038e-03	 2.2715e-03	 9686.16020	 0.40222	 9686.15091		 0.39293
8	 9	 9685.189	 1.17100	 2.5356e-03	 2.3432e-03	 9685.79637	 0.60698	 9685.26046		 0.07107
8	 11	 9685.372	 1.21144	 2.5150e-03	 2.2850e-03	 9685.50314	 0.13075	 9685.29840		 -0.07400
8	 12	 9686.006	 1.28454	 2.4834e-03	 2.1911e-03	 9685.92976	 -0.07657	 9686.29218		 0.28585
8	 13	 9685.511	 1.12338	 2.4725e-03	 2.3328e-03	 9685.48414	 -0.02681	 9685.46236		 -0.04859
8	 14	 9685.172	 1.18541	 2.4565e-03	 2.2562e-03	 9685.54985	 0.37784	 9685.06618		 -0.10582
8	 16	 9685.040	 1.04453	 2.4388e-03	 2.3863e-03	 9685.26396	 0.22371	 9685.38323		 0.34298
8	 17	 9685.214	 1.19693	 2.4900e-03	 2.2760e-03	 9685.73667	 0.52281	 9685.27445		 0.06058
8	 18	 9685.265	 1.20778	 2.4599e-03	 2.2383e-03	 9685.21989	 -0.04467	 9685.37163		 0.10708
8	 19	 9685.491	 1.16981	 2.4890e-03	 2.3013e-03	 9685.83523	 0.34399	 9685.35559		 -0.13565
8	 21	 9685.363	 1.24514	 2.5206e-03	 2.2589e-03	 9685.28373	 -0.07882	 9685.08413		 -0.27842
8	 22	 9685.690	 1.14358	 2.4700e-03	 2.3098e-03	 9685.60856	 -0.08156	 9685.78446		 0.09433
8	 23	 9685.237	 1.16652	 2.4680e-03	 2.2850e-03	 9685.16722	 -0.06969	 9685.17419		 -0.06272
8	 24	 9685.101	 1.12538	 2.4535e-03	 2.3128e-03	 9685.10557	 0.00503	 9685.22518		 0.12464
8	 26	 9685.344	 1.28246	 2.5503e-03	 2.2520e-03	 9685.72275	 0.37872	 9685.40676		 0.06273
8	 27	 9685.966	 1.31307	 2.5559e-03	 2.2305e-03	 9686.53903	 0.57341	 9686.09500		 0.12938
8	 28	 9685.336	 1.18008	 2.4919e-03	 2.2939e-03	 9685.25009	 -0.08622	 9685.35719		 0.02088
8	 29	 9685.338	 1.26732	 2.5592e-03	 2.2733e-03	 9685.37032	 0.03249	 9685.43964		 0.10180
8	 31	 9685.444	 1.17051	 2.4783e-03	 2.2907e-03	 9685.92931	 0.48516	 9685.43997		 -0.00418
8	 32	 9685.421	 1.20078	 2.5142e-03	 2.2944e-03	 9685.91311	 0.49168	 9685.59971		 0.17828
8	 33	 9685.381	 1.18879	 2.4801e-03	 2.2747e-03	 9685.31696	 -0.06440	 9685.43869		 0.05734
8	 34	 9685.185	 1.25941	 2.5258e-03	 2.2507e-03	 9685.08196	 -0.10340	 9685.23653		 0.05117
8	 36	 9685.656	 1.21230	 2.5273e-03	 2.2953e-03	 9686.33858	 0.68238	 9686.10708		 0.45088
