# FIT DURATION: 0.015
# RUN	 PULSE	 FULL FIT FREQ	 FULL FIT CHISQ	 FULL FIT RMS	 NOISE		 PHASE FREQ	 PHASE - FULL	 PHASE-FILT FREQ	 PHASE-FILT - FULL
8	 1	 9685.433	 1.31707	 2.6320e-03	 2.2934e-03	 9685.59103	 0.15815	 9685.32769		 -0.10519
8	 2	 9685.460	 1.12919	 2.4412e-03	 2.2973e-03	 9684.89422	 -0.56614	 9685.36500		 -0.09536
8	 3	 9685.369	 1.12422	 2.4741e-03	 2.3334e-03	 9685.18691	 -0.18235	 9685.20382		 -0.16545
8	 4	 9685.658	 1.13747	 2.4766e-03	 2.3221e-03	 9685.95959	 0.30186	 9685.54980		 -0.10793
8	 6	 9685.460	 1.13667	 2.4646e-03	 2.3117e-03	 9685.89844	 0.43818	 9685.67629		 0.21603
8	 7	 9685.282	 1.17217	 2.4470e-03	 2.2602e-03	 9685.53098	 0.24884	 9685.28041		 -0.00172
8	 8	 9685.761	 1.27131	 2.5612e-03	 2.2715e-03	 9686.10906	 0.34851	 9685.84465		 0.08409
8	 9	 9685.180	 1.15367	 2.5168e-03	 2.3432e-03	 9685.20782	 0.02830	 9685.32106		 0.14154
8	 11	 9685.349	 1.18000	 2.4822e-03	 2.2850e-03	 9685.46175	 0.11290	 9685.47439		 0.12554
8	 12	 9685.981	 1.24720	 2.4470e-03	 2.1911e-03	 9686.02456	 0.04356	 9686.17272		 0.19171
8	 13	 9685.447	 1.10091	 2.4477e-03	 2.3328e-03	 9685.43768	 -0.00960	 9685.53701		 0.08974
8	 14	 9685.132	 1.18116	 2.4521e-03	 2.2562e-03	 9685.03129	 -0.10118	 9685.10995		 -0.02251
8	 16	 9685.066	 1.03608	 2.4289e-03	 2.3863e-03	 9684.84762	 -0.21807	 9684.95407		 -0.11162
8	 17	 9685.217	 1.16781	 2.4595e-03	 2.2760e-03	 9685.12892	 -0.08811	 9685.14996		 -0.06707
8	 18	 9685.294	 1.18577	 2.4374e-03	 2.2383e-03	 9685.79278	 0.49896	 9685.33815		 0.04433
8	 19	 9685.465	 1.14177	 2.4590e-03	 2.3013e-03	 9686.09959	 0.63432	 9685.37493		 -0.09034
8	 21	 9685.356	 1.21657	 2.4915e-03	 2.2589e-03	 9685.12971	 -0.22618	 9685.20554		 -0.15034
8	 22	 9685.644	 1.10602	 2.4291e-03	 2.3098e-03	 9685.41844	 -0.22535	 9685.49011		 -0.15367
8	 23	 9685.202	 1.14169	 2.4416e-03	 2.2850e-03	 9684.99896	 -0.20277	 9685.03379		 -0.16795
8	 24	 9685.136	 1.09207	 2.4169e-03	 2.3128e-03	 9685.24538	 0.10903	 9685.29774		 0.16139
8	 26	 9685.405	 1.25251	 2.5203e-03	 2.2520e-03	 9686.00096	 0.59550	 9685.51546		 0.11000
8	 27	 9685.885	 1.25963	 2.5034e-03	 2.2305e-03	 9685.86617	 -0.01918	 9685.68873		 -0.19662
8	 28	 9685.364	 1.14780	 2.4575e-03	 2.2939e-03	 9684.93353	 -0.43013	 9685.54122		 0.17756
8	 29	 9685.418	 1.24332	 2.5349e-03	 2.2733e-03	 9685.81938	 0.40155	 9685.99767		 0.57985
8	 31	 9685.394	 1.15176	 2.4583e-03	 2.2907e-03	 9684.95323	 -0.44082	 9685.25932		 -0.13473
8	 32	 9685.438	 1.16725	 2.4789e-03	 2.2944e-03	 9685.89413	 0.45633	 9685.66970		 0.23191
8	 33	 9685.405	 1.15006	 2.4394e-03	 2.2747e-03	 9685.60945	 0.20489	 9685.50073		 0.09617
8	 34	 9685.174	 1.22660	 2.4927e-03	 2.2507e-03	 9685.43832	 0.26407	 9685.06459		 -0.10966
8	 36	 9685.585	 1.16897	 2.4817e-03	 2.2953e-03	 9685.53454	 -0.05088	 9685.14522		 -0.44021
8	 37	 9685.455	 1.23607	 2.4910e-03	 2.2405e-03	 9685.47784	 0.02321	 9685.63159		 0.17696
8	 38	 9685.392	 1.16891	 2.4470e-03	 2.2633e-03	 9685.31696	 -0.07476	 9685.27112		 -0.12061
8	 39	 9685.343	 1.19445	 2.5131e-03	 2.2995e-03	 9684.75776	 -0.58505	 9685.09833		 -0.24447
8	 41	 9685.245	 1.14481	 2.4643e-03	 2.3032e-03	 9685.49955	 0.25418	 9685.00889		 -0.23648
8	 42	 9685.673	 1.12026	 2.4693e-03	 2.3330e-03	 9685.64464	 -0.02871	 9685.57049		 -0.10286
8	 43	 9685.172	 1.17418	 2.4355e-03	 2.2476e-03	 9685.20750	 0.03557	 9685.18227		 0.01034
8	 44	 9685.425	 1.21753	 2.5014e-03	 2.2670e-03	 9684.93095	 -0.49422	 9684.54645		 -0.87873
8	 46	 9685.785	 1.28463	 2.4914e-03	 2.1981e-03	 9686.17890	 0.39341	 9685.79736		 0.01188
8	 47	 9685.545	 1.23328	 2.5059e-03	 2.2565e-03	 9685.40718	 -0.13794	 9685.46262		 -0.08250
8	 48	 9685.481	 1.14531	 2.4089e-03	 2.2509e-03	 9686.27694	 0.79632	 9685.41932		 -0.06129
8	 49	 9685.207	 1.16142	 2.5193e-03	 2.3376e-03	 9685.71150	 0.50468	 9685.34085		 0.13403
8	 51	 9685.240	 1.25380	 2.5391e-03	 2.2676e-03	 9685.51516	 0.27565	 9685.23561		 -0.00390
8	 52	 9685.731	 1.21781	 2.5037e-03	 2.2688e-03	 9685.91311	 0.18204	 9685.94421		 0.21314
8	 53	 9685.589	 1.16879	 2.4815e-03	 2.2953e-03	 9685.45731	 -0.13142	 9685.46516		 -0.12358
8	 54	 9685.381	 1.15764	 2.4375e-03	 2.2655e-03	 9685.65761	 0.27678	 9685.63280		 0.25197
8	 56	 9685.370	 1.17924	 2.4939e-03	 2.2966e-03	 9685.15863	 -0.21183	 9685.44842		 0.07796
8	 57	 9685.446	 1.13202	 2.4692e-03	 2.3207e-03	 9685.91154	 0.46551	 9685.46211		 0.01608
8	 58	 9685.503	 1.05795	 2.4232e-03	 2.3559e-03	 9685.65016	 0.14689	 9685.54932		 0.04605
8	 59	 9685.292	 1.18115	 2.4604e-03	 2.2639e-03	 9685.67125	 0.37883	 9685.60436		 0.31195
8	 61	 9685.819	 1.22305	 2.4965e-03	 2.2574e-03	 9685.51763	 -0.30129	 9685.99761		 0.17869
8	 62	 9685.697	 1.20783	 2.4484e-03	 2.2278e-03	 9685.76904	 0.07251	 9685.78446		 0.08793
8	 63	 9686.010	 1.23702	 2.4866e-03	 2.2357e-03	 9685.55330	 -0.45682	 9686.22313		 0.21302
8	 64	 9685.264	 1.15896	 2.4217e-03	 2.2495e-03	 9685.11858	 -0.14573	 9685.43553		 0.17122
8	 66	 9685.306	 1.11928	 2.4861e-03	 2.3499e-03	 9685.34706	 0.04057	 9685.38792		 0.08143
8	 67	 9685.537	 1.17572	 2.4207e-03	 2.2325e-03	 9685.18837	 -0.34906	 9685.15493		 -0.38251
8	 68	 9684.944	 1.09056	 2.4223e-03	 2.3196e-03	 9685.04109	 0.09670	 9684.98984		 0.04545
8	 69	 9685.731	 1.19737	 2.5068e-03	 2.2909e-03	 9686.31128	 0.58017	 9685.68942		 -0.04170
#8	 71	 9690.794	 3.63600	 2.2285e-03	 1.1687e-03	 9403.09440	 -287.69946	 8252.11891		 -1438.67496
8	 72	 9685.818	 1.19581	 2.5059e-03	 2.2915e-03	 9686.09604	 0.27848	 9685.60607		 -0.21148
8	 73	 9685.819	 1.18592	 2.5290e-03	 2.3224e-03	 9685.95493	 0.13618	 9686.17402		 0.35527
8	 74	 9685.535	 1.23843	 2.5274e-03	 2.2711e-03	 9685.85856	 0.32355	 9685.60679		 0.07177
8	 76	 9685.632	 1.21289	 2.5067e-03	 2.2761e-03	 9686.10223	 0.47004	 9685.86953		 0.23734
8	 77	 9685.685	 1.14553	 2.4469e-03	 2.2862e-03	 9685.82767	 0.14233	 9685.38515		 -0.30019
8	 78	 9685.337	 1.09052	 2.4320e-03	 2.3289e-03	 9685.41337	 0.07633	 9685.20915		 -0.12789
8	 79	 9685.746	 1.14047	 2.5140e-03	 2.3541e-03	 9685.25148	 -0.49416	 9685.44148		 -0.30416
8	 81	 9685.572	 1.24976	 2.5126e-03	 2.2476e-03	 9685.78347	 0.21138	 9685.56831		 -0.00378
