# FIT DURATION: 0.007
# RUN	 PULSE	 FULL FIT FREQ	 FULL FIT CHISQ	 FULL FIT RMS	 NOISE		 PHASE FREQ	 PHASE - FULL	 PHASE-FILT FREQ	 PHASE-FILT - FULL
8	 1	 9685.577	 1.48773	 2.7973e-03	 2.2934e-03	 9686.10311	 0.52644	 9685.40574		 -0.17093
8	 2	 9685.267	 1.27910	 2.5982e-03	 2.2973e-03	 9685.76827	 0.50116	 9684.97465		 -0.29246
8	 3	 9685.499	 1.26561	 2.6250e-03	 2.3334e-03	 9686.17044	 0.67139	 9685.30389		 -0.19516
8	 4	 9685.757	 1.21647	 2.5612e-03	 2.3221e-03	 9686.55916	 0.80249	 9685.49549		 -0.26118
8	 6	 9685.255	 1.28633	 2.6218e-03	 2.3117e-03	 9686.31254	 1.05792	 9685.12797		 -0.12665
8	 7	 9685.329	 1.28872	 2.5658e-03	 2.2602e-03	 9685.18185	 -0.14752	 9685.18542		 -0.14395
8	 8	 9685.638	 1.38554	 2.6738e-03	 2.2715e-03	 9686.35652	 0.71840	 9685.19894		 -0.43918
8	 9	 9684.877	 1.29912	 2.6707e-03	 2.3432e-03	 9685.26533	 0.38849	 9685.19587		 0.31904
8	 11	 9685.640	 1.29139	 2.5967e-03	 2.2850e-03	 9685.99224	 0.35194	 9685.13185		 -0.50845
8	 12	 9686.247	 1.41841	 2.6096e-03	 2.1911e-03	 9686.89992	 0.65277	 9685.94936		 -0.29780
8	 13	 9685.302	 1.18216	 2.5364e-03	 2.3328e-03	 9686.22102	 0.91923	 9684.98486		 -0.31693
8	 14	 9685.112	 1.31126	 2.5836e-03	 2.2562e-03	 9686.03542	 0.92335	 9685.32431		 0.21224
8	 16	 9684.709	 1.13857	 2.5462e-03	 2.3863e-03	 9685.03386	 0.32470	 9684.62119		 -0.08797
8	 17	 9685.057	 1.26894	 2.5638e-03	 2.2760e-03	 9685.79318	 0.73620	 9684.60674		 -0.45024
8	 18	 9685.451	 1.45855	 2.7032e-03	 2.2383e-03	 9686.26056	 0.80971	 9685.11292		 -0.33794
8	 19	 9685.557	 1.23580	 2.5583e-03	 2.3013e-03	 9685.59403	 0.03695	 9685.07909		 -0.47799
8	 21	 9685.439	 1.32860	 2.6037e-03	 2.2589e-03	 9685.96869	 0.52995	 9684.84218		 -0.59656
8	 22	 9685.764	 1.28539	 2.6187e-03	 2.3098e-03	 9685.15254	 -0.61161	 9685.34132		 -0.42284
8	 23	 9685.168	 1.34802	 2.6530e-03	 2.2850e-03	 9686.63191	 1.46419	 9685.14972		 -0.01799
8	 24	 9684.902	 1.20235	 2.5360e-03	 2.3128e-03	 9685.47906	 0.57704	 9684.86345		 -0.03857
8	 26	 9685.585	 1.36382	 2.6299e-03	 2.2520e-03	 9686.07290	 0.48801	 9685.01031		 -0.57459
8	 27	 9686.249	 1.36833	 2.6091e-03	 2.2305e-03	 9686.93112	 0.68243	 9685.57940		 -0.66929
8	 28	 9685.642	 1.21093	 2.5242e-03	 2.2939e-03	 9686.28244	 0.64081	 9685.38759		 -0.25404
8	 29	 9685.463	 1.36053	 2.6517e-03	 2.2733e-03	 9686.39919	 0.93644	 9684.96980		 -0.49294
