# FIT DURATION: 0.017
# RUN	 PULSE	 FULL FIT FREQ	 FULL FIT CHISQ	 FULL FIT RMS	 NOISE		 PHASE FREQ	 PHASE - FULL	 PHASE-FILT FREQ	 PHASE-FILT - FULL
8	 1	 9685.432	 1.29708	 2.6119e-03	 2.2934e-03	 9684.90811	 -0.52398	 9685.52294		 0.09084
8	 2	 9685.448	 1.12747	 2.4393e-03	 2.2973e-03	 9685.14275	 -0.30569	 9685.23039		 -0.21805
8	 3	 9685.376	 1.10355	 2.4512e-03	 2.3334e-03	 9685.11228	 -0.26365	 9685.44792		 0.07199
8	 4	 9685.681	 1.11324	 2.4501e-03	 2.3221e-03	 9685.98049	 0.29938	 9685.47624		 -0.20487
8	 6	 9685.449	 1.10465	 2.4296e-03	 2.3117e-03	 9685.70431	 0.25495	 9685.58552		 0.13616
8	 7	 9685.400	 1.13608	 2.4091e-03	 2.2602e-03	 9685.54799	 0.14788	 9686.03395		 0.63384
8	 8	 9685.709	 1.23425	 2.5236e-03	 2.2715e-03	 9685.21529	 -0.49326	 9685.27975		 -0.42879
8	 9	 9685.196	 1.09159	 2.4481e-03	 2.3432e-03	 9685.42609	 0.23058	 9685.56252		 0.36701
8	 11	 9685.386	 1.16159	 2.4627e-03	 2.2850e-03	 9686.01175	 0.62567	 9686.03374		 0.64766
8	 12	 9685.907	 1.22903	 2.4291e-03	 2.1911e-03	 9685.45458	 -0.45237	 9685.76001		 -0.14694
8	 13	 9685.492	 1.08437	 2.4292e-03	 2.3328e-03	 9685.81162	 0.31913	 9685.92166		 0.42917
8	 14	 9685.188	 1.15209	 2.4218e-03	 2.2562e-03	 9685.62628	 0.43865	 9685.71281		 0.52518
8	 16	 9685.084	 1.01005	 2.3982e-03	 2.3863e-03	 9685.53479	 0.45074	 9685.14780		 0.06375
8	 17	 9685.250	 1.15457	 2.4455e-03	 2.2760e-03	 9685.69504	 0.44499	 9685.50821		 0.25817
8	 18	 9685.312	 1.16855	 2.4196e-03	 2.2383e-03	 9684.94947	 -0.36265	 9685.65006		 0.33794
8	 19	 9685.484	 1.12662	 2.4427e-03	 2.3013e-03	 9685.20359	 -0.28051	 9685.65773		 0.17363
8	 21	 9685.366	 1.18232	 2.4562e-03	 2.2589e-03	 9685.46898	 0.10341	 9685.55416		 0.18859
8	 22	 9685.648	 1.08537	 2.4063e-03	 2.3098e-03	 9686.00131	 0.35323	 9685.71270		 0.06462
8	 23	 9685.273	 1.11453	 2.4124e-03	 2.2850e-03	 9686.11384	 0.84035	 9685.58322		 0.30973
8	 24	 9685.201	 1.07362	 2.3964e-03	 2.3128e-03	 9685.35593	 0.15499	 9685.51744		 0.31650
8	 26	 9685.392	 1.21751	 2.4848e-03	 2.2520e-03	 9685.58712	 0.19483	 9685.71981		 0.32753
8	 27	 9685.848	 1.22328	 2.4670e-03	 2.2305e-03	 9685.84911	 0.00067	 9686.24674		 0.39830
8	 28	 9685.389	 1.12288	 2.4307e-03	 2.2939e-03	 9685.85308	 0.46389	 9685.55301		 0.16382
8	 29	 9685.443	 1.20769	 2.4983e-03	 2.2733e-03	 9684.76826	 -0.67474	 9685.45439		 0.01139
8	 31	 9685.418	 1.12394	 2.4285e-03	 2.2907e-03	 9686.21392	 0.79581	 9685.84928		 0.43117
8	 32	 9685.490	 1.14716	 2.4575e-03	 2.2944e-03	 9686.11731	 0.62738	 9685.59248		 0.10255
8	 33	 9685.349	 1.14052	 2.4293e-03	 2.2747e-03	 9685.88596	 0.53648	 9685.14005		 -0.20943
8	 34	 9685.210	 1.18719	 2.4523e-03	 2.2507e-03	 9685.44690	 0.23717	 9685.99815		 0.78842
8	 36	 9685.560	 1.13101	 2.4411e-03	 2.2953e-03	 9685.16700	 -0.39302	 9685.41770		 -0.14232
8	 37	 9685.475	 1.19144	 2.4456e-03	 2.2405e-03	 9685.90849	 0.43347	 9685.83964		 0.36462
8	 38	 9685.420	 1.14708	 2.4240e-03	 2.2633e-03	 9685.90042	 0.48075	 9685.84435		 0.42468
8	 39	 9685.295	 1.16595	 2.4830e-03	 2.2995e-03	 9685.43015	 0.13512	 9685.25525		 -0.03977
8	 41	 9685.240	 1.11491	 2.4319e-03	 2.3032e-03	 9685.16331	 -0.07684	 9685.67502		 0.43487
8	 42	 9685.672	 1.09801	 2.4447e-03	 2.3330e-03	 9685.28444	 -0.38750	 9686.07723		 0.40530
8	 43	 9685.174	 1.15276	 2.4132e-03	 2.2476e-03	 9685.23356	 0.05976	 9685.15709		 -0.01672
8	 44	 9685.390	 1.21389	 2.4977e-03	 2.2670e-03	 9685.88634	 0.49673	 9685.44751		 0.05790
8	 46	 9685.763	 1.26297	 2.4703e-03	 2.1981e-03	 9686.02285	 0.26030	 9686.04687		 0.28432
8	 47	 9685.539	 1.19203	 2.4636e-03	 2.2565e-03	 9685.69680	 0.15766	 9685.91826		 0.37912
8	 48	 9685.517	 1.14266	 2.4061e-03	 2.2509e-03	 9686.02507	 0.50789	 9685.33028		 -0.18690
8	 49	 9685.193	 1.13687	 2.4925e-03	 2.3376e-03	 9685.54782	 0.35486	 9685.34871		 0.15576
8	 51	 9685.252	 1.21866	 2.5032e-03	 2.2676e-03	 9686.06463	 0.81268	 9685.66017		 0.40822
8	 52	 9685.708	 1.19208	 2.4771e-03	 2.2688e-03	 9685.24753	 -0.46073	 9685.79800		 0.08973
8	 53	 9685.529	 1.14010	 2.4508e-03	 2.2953e-03	 9685.42412	 -0.10465	 9685.40233		 -0.12644
8	 54	 9685.464	 1.15191	 2.4315e-03	 2.2655e-03	 9686.17680	 0.71318	 9685.96119		 0.49757
8	 56	 9685.414	 1.13363	 2.4452e-03	 2.2966e-03	 9685.31121	 -0.10269	 9685.49821		 0.08432
8	 57	 9685.472	 1.10781	 2.4426e-03	 2.3207e-03	 9685.76646	 0.29423	 9685.60292		 0.13068
8	 58	 9685.499	 1.04650	 2.4100e-03	 2.3559e-03	 9686.20156	 0.70219	 9685.81708		 0.31772
8	 59	 9685.334	 1.17162	 2.4505e-03	 2.2639e-03	 9685.71398	 0.38035	 9685.44624		 0.11260
8	 61	 9685.768	 1.19603	 2.4687e-03	 2.2574e-03	 9685.74780	 -0.01977	 9685.44912		 -0.31845
8	 62	 9685.652	 1.19300	 2.4333e-03	 2.2278e-03	 9685.75524	 0.10347	 9685.73014		 0.07837
8	 63	 9686.010	 1.21792	 2.4673e-03	 2.2357e-03	 9686.13804	 0.12801	 9686.12219		 0.11216
8	 64	 9685.301	 1.13172	 2.3931e-03	 2.2495e-03	 9684.94980	 -0.35143	 9685.05104		 -0.25019
8	 66	 9685.327	 1.10252	 2.4674e-03	 2.3499e-03	 9685.01567	 -0.31144	 9685.27552		 -0.05158
8	 67	 9685.582	 1.15290	 2.3971e-03	 2.2325e-03	 9685.92207	 0.34039	 9685.32683		 -0.25485
8	 68	 9684.982	 1.08369	 2.4147e-03	 2.3196e-03	 9685.16269	 0.18091	 9685.16040		 0.17862
8	 69	 9685.714	 1.15944	 2.4667e-03	 2.2909e-03	 9686.09506	 0.38091	 9685.99305		 0.27891
#8	 71	 9698.648	 3.80016	 2.2783e-03	 1.1687e-03	 10454.09887	 755.45082	 8501.32364		 -1197.32441
8	 72	 9685.825	 1.17780	 2.4869e-03	 2.2915e-03	 9686.89663	 1.07162	 9686.08548		 0.26048
8	 73	 9685.866	 1.14013	 2.4797e-03	 2.3224e-03	 9686.03131	 0.16572	 9685.88689		 0.02130
8	 74	 9685.498	 1.20776	 2.4959e-03	 2.2711e-03	 9685.08028	 -0.41761	 9685.58633		 0.08844
8	 76	 9685.625	 1.18085	 2.4734e-03	 2.2761e-03	 9686.06758	 0.44263	 9685.79556		 0.17061
8	 77	 9685.687	 1.13429	 2.4349e-03	 2.2862e-03	 9685.81678	 0.12959	 9685.35142		 -0.33577
8	 78	 9685.303	 1.07292	 2.4123e-03	 2.3289e-03	 9685.88625	 0.58368	 9685.56543		 0.26286
8	 79	 9685.814	 1.09787	 2.4666e-03	 2.3541e-03	 9685.93760	 0.12407	 9686.22124		 0.40771
8	 81	 9685.576	 1.22009	 2.4826e-03	 2.2476e-03	 9685.10289	 -0.47287	 9685.57837		 0.00261
8	 82	 9685.407	 1.17972	 2.4798e-03	 2.2831e-03	 9685.33263	 -0.07449	 9685.50262		 0.09551
8	 83	 9685.452	 1.21209	 2.4702e-03	 2.2437e-03	 9685.32910	 -0.12322	 9685.76452		 0.31220
8	 84	 9685.455	 1.15594	 2.4121e-03	 2.2435e-03	 9685.16521	 -0.28999	 9684.85123		 -0.60397
8	 86	 9685.903	 1.10614	 2.4276e-03	 2.3082e-03	 9685.96405	 0.06107	 9685.73297		 -0.17001
8	 87	 9685.802	 1.21430	 2.4866e-03	 2.2565e-03	 9685.99369	 0.19138	 9685.54868		 -0.25364
8	 88	 9685.683	 1.14334	 2.4370e-03	 2.2791e-03	 9685.28060	 -0.40211	 9685.43609		 -0.24662
8	 89	 9685.748	 1.13979	 2.4402e-03	 2.2856e-03	 9685.48463	 -0.26372	 9685.40121		 -0.34713
8	 91	 9685.557	 1.09837	 2.4133e-03	 2.3027e-03	 9685.52753	 -0.02911	 9685.35019		 -0.20645
8	 92	 9685.302	 1.17236	 2.4634e-03	 2.2751e-03	 9685.50457	 0.20281	 9685.54224		 0.24048
8	 93	 9685.259	 1.18658	 2.4456e-03	 2.2451e-03	 9685.56673	 0.30788	 9685.40023		 0.14138
8	 94	 9685.500	 1.11232	 2.4754e-03	 2.3471e-03	 9686.19556	 0.69507	 9686.14306		 0.64258
8	 96	 9685.391	 1.18070	 2.4621e-03	 2.2659e-03	 9685.15639	 -0.23411	 9685.78765		 0.39715
8	 97	 9685.748	 1.19911	 2.5096e-03	 2.2918e-03	 9685.62648	 -0.12149	 9685.80845		 0.06047
8	 98	 9685.581	 1.12062	 2.4578e-03	 2.3217e-03	 9685.18783	 -0.39313	 9685.37409		 -0.20688
8	 99	 9685.637	 1.17675	 2.4653e-03	 2.2726e-03	 9685.21427	 -0.42299	 9685.60540		 -0.03185
