# FIT DURATION: 0.019
# RUN	 PULSE	 FULL FIT FREQ	 FULL FIT CHISQ	 FULL FIT RMS	 NOISE		 PHASE FREQ	 PHASE - FULL	 PHASE-FILT FREQ	 PHASE-FILT - FULL
8	 1	 9685.504	 1.26821	 2.5827e-03	 2.2934e-03	 9685.16922	 -0.33463	 9686.90603		 1.40218
8	 2	 9685.470	 1.11710	 2.4281e-03	 2.2973e-03	 9686.50320	 1.03306	 9685.56048		 0.09034
8	 3	 9685.426	 1.08173	 2.4269e-03	 2.3334e-03	 9685.86490	 0.43931	 9686.01255		 0.58696
8	 4	 9685.704	 1.09714	 2.4323e-03	 2.3221e-03	 9686.45458	 0.75029	 9686.42611		 0.72181
8	 6	 9685.503	 1.08859	 2.4119e-03	 2.3117e-03	 9686.77296	 1.27011	 9686.49853		 0.99568
8	 7	 9685.420	 1.11855	 2.3904e-03	 2.2602e-03	 9685.98844	 0.56872	 9685.71386		 0.29414
8	 8	 9685.743	 1.20101	 2.4894e-03	 2.2715e-03	 9686.32820	 0.58494	 9686.23246		 0.48920
8	 9	 9685.236	 1.09148	 2.4480e-03	 2.3432e-03	 9685.97004	 0.73386	 9685.64468		 0.40850
8	 11	 9685.413	 1.14047	 2.4402e-03	 2.2850e-03	 9686.00376	 0.59048	 9685.88027		 0.46699
8	 12	 9685.857	 1.20919	 2.4094e-03	 2.1911e-03	 9684.91766	 -0.93927	 9685.22754		 -0.62939
8	 13	 9685.487	 1.06516	 2.4076e-03	 2.3328e-03	 9686.06704	 0.58002	 9685.96690		 0.47989
8	 14	 9685.225	 1.13443	 2.4031e-03	 2.2562e-03	 9686.30430	 1.07977	 9686.07200		 0.84748
8	 16	 9685.071	 1.00143	 2.3880e-03	 2.3863e-03	 9685.22792	 0.15708	 9684.91160		 -0.15924
8	 17	 9685.246	 1.14541	 2.4358e-03	 2.2760e-03	 9685.85761	 0.61156	 9685.62961		 0.38356
8	 18	 9685.365	 1.14780	 2.3980e-03	 2.2383e-03	 9686.02810	 0.66342	 9686.29402		 0.92934
8	 19	 9685.497	 1.12917	 2.4454e-03	 2.3013e-03	 9685.87984	 0.38271	 9685.98111		 0.48398
8	 21	 9685.421	 1.17474	 2.4483e-03	 2.2589e-03	 9686.24957	 0.82869	 9686.47610		 1.05521
8	 22	 9685.645	 1.06733	 2.3862e-03	 2.3098e-03	 9685.66490	 0.01972	 9685.87251		 0.22734
8	 23	 9685.326	 1.10268	 2.3995e-03	 2.2850e-03	 9687.29045	 1.96444	 9685.65691		 0.33091
8	 24	 9685.242	 1.05688	 2.3777e-03	 2.3128e-03	 9685.84579	 0.60389	 9685.41788		 0.17597
8	 26	 9685.443	 1.20156	 2.4685e-03	 2.2520e-03	 9686.24994	 0.80666	 9686.08687		 0.64360
8	 27	 9685.864	 1.19901	 2.4424e-03	 2.2305e-03	 9686.36821	 0.50376	 9686.11601		 0.25155
