# FIT DURATION: 0.009
# RUN	 PULSE	 FULL FIT FREQ	 FULL FIT CHISQ	 FULL FIT RMS	 NOISE		 PHASE FREQ	 PHASE - FULL	 PHASE-FILT FREQ	 PHASE-FILT - FULL
8	 1	 9685.401	 1.51853	 2.8261e-03	 2.2934e-03	 9686.03155	 0.63044	 9685.56525		 0.16414
8	 2	 9685.407	 1.22936	 2.5472e-03	 2.2973e-03	 9685.81635	 0.40906	 9685.73008		 0.32280
8	 3	 9685.413	 1.27609	 2.6359e-03	 2.3334e-03	 9685.67810	 0.26492	 9685.51118		 0.09801
8	 4	 9685.698	 1.24363	 2.5896e-03	 2.3221e-03	 9686.20807	 0.51023	 9685.70433		 0.00648
8	 6	 9685.401	 1.26145	 2.5964e-03	 2.3117e-03	 9686.07026	 0.66957	 9685.60795		 0.20726
8	 7	 9685.290	 1.28765	 2.5647e-03	 2.2602e-03	 9685.73047	 0.44060	 9685.34020		 0.05033
8	 8	 9685.575	 1.38576	 2.6740e-03	 2.2715e-03	 9686.35534	 0.78014	 9685.83435		 0.25915
8	 9	 9685.027	 1.27225	 2.6430e-03	 2.3432e-03	 9685.67289	 0.64577	 9685.25790		 0.23079
8	 11	 9685.457	 1.28610	 2.5914e-03	 2.2850e-03	 9685.86026	 0.40354	 9685.47281		 0.01609
8	 12	 9685.963	 1.37465	 2.5690e-03	 2.1911e-03	 9686.28093	 0.31800	 9685.97285		 0.00992
8	 13	 9685.569	 1.19578	 2.5510e-03	 2.3328e-03	 9686.06403	 0.49491	 9685.78166		 0.21254
8	 14	 9685.123	 1.28343	 2.5561e-03	 2.2562e-03	 9685.41589	 0.29284	 9685.32215		 0.19910
8	 16	 9685.047	 1.20634	 2.6209e-03	 2.3863e-03	 9685.36831	 0.32083	 9685.34258		 0.29509
8	 17	 9685.011	 1.27509	 2.5700e-03	 2.2760e-03	 9685.97539	 0.96451	 9685.36392		 0.35304
