# FIT DURATION: 0.021
# RUN	 PULSE	 FULL FIT FREQ	 FULL FIT CHISQ	 FULL FIT RMS	 NOISE		 PHASE FREQ	 PHASE - FULL	 PHASE-FILT FREQ	 PHASE-FILT - FULL
8	 1	 9685.622	 1.26123	 2.5756e-03	 2.2934e-03	 9691.05788	 5.43553	 9689.20195		 3.57960
8	 2	 9685.490	 1.11047	 2.4209e-03	 2.2973e-03	 9686.51316	 1.02347	 9685.75505		 0.26535
8	 3	 9685.465	 1.07014	 2.4138e-03	 2.3334e-03	 9687.53392	 2.06901	 9686.28738		 0.82247
8	 4	 9685.736	 1.07372	 2.4062e-03	 2.3221e-03	 9685.66348	 -0.07203	 9686.06256		 0.32705
8	 6	 9685.563	 1.07052	 2.3918e-03	 2.3117e-03	 9686.72645	 1.16391	 9686.12819		 0.56565
8	 7	 9685.420	 1.10358	 2.3743e-03	 2.2602e-03	 9687.84900	 2.42924	 9685.25701		 -0.16275
8	 8	 9685.784	 1.17245	 2.4596e-03	 2.2715e-03	 9687.29934	 1.51533	 9686.35521		 0.57120
8	 9	 9685.287	 1.11797	 2.4775e-03	 2.3432e-03	 9685.28645	 -0.00020	 9686.40160		 1.11494
8	 11	 9685.445	 1.12813	 2.4270e-03	 2.2850e-03	 9687.47652	 2.03164	 9685.71068		 0.26580
8	 12	 9685.854	 1.18832	 2.3886e-03	 2.1911e-03	 9686.33507	 0.48078	 9686.12866		 0.27438
8	 13	 9685.518	 1.06088	 2.4028e-03	 2.3328e-03	 9685.58859	 0.07019	 9685.21086		 -0.30754
8	 14	 9685.256	 1.12332	 2.3913e-03	 2.2562e-03	 9687.07785	 1.82141	 9685.61144		 0.35500
8	 16	 9685.093	 0.99494	 2.3802e-03	 2.3863e-03	 9685.69558	 0.60241	 9685.01243		 -0.08074
8	 17	 9685.297	 1.13041	 2.4198e-03	 2.2760e-03	 9686.14578	 0.84829	 9686.59699		 1.29949
8	 18	 9685.387	 1.13725	 2.3870e-03	 2.2383e-03	 9686.64271	 1.25589	 9685.52266		 0.13584
