21383.2357887 1.50697790551 0.00159586736927 12.2981191856 247.365038184 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.3088656 1.55191052203 0.0016194841099 12.267661933 247.541173943 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.0176329 1.59717749732 0.00164293334328 12.1390159674 247.952179709 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21382.9753956 1.41525575564 0.00154653878937 12.7991993101 252.104890504 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.3555272 1.44552867915 0.00156299183227 12.519619126 251.096470194 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.0830349 1.53679548401 0.00161157822273 11.9551153301 246.278945187 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21382.9075223 1.55442352283 0.00162079479071 12.0410921503 246.226940368 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.246159 1.67832566664 0.00168415271772 12.5179183641 250.2020381 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.1906149 1.40208521695 0.00153932583186 12.7786746933 251.873219903 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.2040356 1.53011884325 0.00160807364418 12.2289405093 248.298689116 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.2826839 1.42104576874 0.00154969911569 12.6310365793 250.639823432 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.3478828 1.53251350702 0.00160933148446 12.8205512592 251.669458888 2 # ((Model(envelope3_func) * Model(harmonics4_func)) + Model(offset_func))
21383.5038157 1.53536778605 0.00161082946286 12.7590906116 252.249321713 2 # ((Model(envelope3_func) * Model(harmonics4_func)) + Model(offset_func))
21383.0102554 1.47758508833 0.00158022745175 12.429504508 250.200971784 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.2072485 1.54657986256 0.00161670033331 12.3310190092 247.273865395 2 # ((Model(envelope3_func) * Model(harmonics4_func)) + Model(offset_func))
21383.5114447 1.46250638131 0.00157214369077 12.4939824794 248.767207001 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.0313243 1.45160783449 0.0015662749568 12.2001956552 247.914828382 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.1810959 1.54826718721 0.00161758200608 12.2642256962 247.191042669 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.5892436 1.45599235081 0.00156863860493 12.6641172457 251.539855439 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.0980224 1.49563884251 0.00158985208238 12.3657652628 250.189751818 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.3849214 1.47839368353 0.00158065977528 12.3155208944 249.122577145 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.2450684 1.68592036791 0.00168795895145 12.7028666713 252.333771457 2 # ((Model(envelope3_func) * Model(harmonics4_func)) + Model(offset_func))
21383.4251461 1.50125681234 0.00159283521208 12.1171249479 -246.538305167 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.5049731 1.42912986829 0.00155410085818 12.5016333372 250.385538404 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.2645873 1.46568161509 0.00157384939861 12.8447541358 252.026512387 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.5766466 2.14573082651 0.00190428072952 12.5605926318 250.618746096 10 # ((Model(envelope3_func) * Model(harmonics4_func)) + Model(offset_func))
21383.2513936 1.53508995205 0.00161068371165 12.6087023807 250.7462499 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.4746526 3.14770420068 0.00230643016351 12.4477296719 247.965755673 10 # ((Model(envelope3_func) * Model(harmonics4_func)) + Model(offset_func))
21383.1748182 1.55585935443 0.00162154318752 12.7248073941 251.454685692 2 # ((Model(envelope3_func) * Model(harmonics4_func)) + Model(offset_func))
21383.2680314 1.4253395952 0.00155203863222 12.6351635599 251.347830704 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.2169467 1.4231077861 0.00155082305841 12.5447956925 250.199617154 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.2203889 1.41147114474 0.00154446956416 12.554941506 249.715023521 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.2950763 1.44807220924 0.00156436633613 12.2495357389 248.341820507 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.1115873 1.65248633435 0.00167113790725 12.6173563982 249.732014976 2 # ((Model(envelope3_func) * Model(harmonics4_func)) + Model(offset_func))
21383.6282506 1.52483039957 0.00160529230213 12.2189978297 251.431295468 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21383.1939663 1.49932965886 0.00159181252774 12.2087586027 247.591118143 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
21382.9362661 1.74278202735 0.00171618810922 12.4595493016 250.351577662 3 # ((Model(envelope3_func) * Model(harmonics4_func)) + Model(offset_func))
21383.2884384 1.47127770342 0.00157685107692 12.3275590871 -249.293276486 1 # ((Model(envelope3_func) * Model(harmonics5_func)) + Model(offset_func))
