# FIT DURATION: 0.017
# RUN	 PULSE	 FULL FIT FREQ	 FULL FIT CHISQ	 FULL FIT RMS	 NOISE		 PHASE FREQ	 PHASE - FULL	 PHASE-FILT FREQ	 PHASE-FILT - FULL
8	 1	 9685.436	 1.23100	 2.5445e-03	 2.2934e-03	 9684.77570	 -0.66057	 9685.62598		 0.18971
8	 2	 9685.442	 1.07016	 2.3789e-03	 2.2996e-03	 9684.92888	 -0.51266	 9685.67485		 0.23331
8	 3	 9685.380	 1.06254	 2.4085e-03	 2.3365e-03	 9685.81450	 0.43402	 9685.51398		 0.13350
8	 4	 9685.672	 1.08901	 2.4250e-03	 2.3237e-03	 9685.24548	 -0.42691	 9685.39311		 -0.27928
8	 6	 9685.465	 1.05070	 2.3713e-03	 2.3134e-03	 9685.80563	 0.34020	 9686.05573		 0.59030
8	 7	 9685.398	 1.09464	 2.3630e-03	 2.2585e-03	 9685.23011	 -0.16837	 9685.99715		 0.59867
8	 8	 9685.696	 1.18530	 2.4747e-03	 2.2730e-03	 9685.42096	 -0.27527	 9685.69331		 -0.00292
8	 9	 9685.220	 1.04779	 2.4002e-03	 2.3448e-03	 9685.53210	 0.31253	 9685.21621		 -0.00336
8	 11	 9685.387	 1.10984	 2.4051e-03	 2.2830e-03	 9685.29912	 -0.08823	 9685.73732		 0.34996
8	 12	 9685.920	 1.16130	 2.3646e-03	 2.1942e-03	 9685.83973	 -0.08034	 9685.54868		 -0.37139
8	 13	 9685.497	 1.05680	 2.3892e-03	 2.3241e-03	 9685.39244	 -0.10474	 9685.50733		 0.01016
8	 14	 9685.196	 1.11592	 2.3832e-03	 2.2560e-03	 9684.70868	 -0.48720	 9685.22123		 0.02535
8	 16	 9685.075	 0.96919	 2.3499e-03	 2.3870e-03	 9685.36563	 0.29090	 9684.72162		 -0.35311
8	 17	 9685.239	 1.11308	 2.3944e-03	 2.2696e-03	 9684.86297	 -0.37627	 9685.07117		 -0.16807
8	 18	 9685.322	 1.11494	 2.3642e-03	 2.2390e-03	 9684.94677	 -0.37541	 9685.78744		 0.46526
8	 19	 9685.476	 1.08159	 2.3948e-03	 2.3027e-03	 9685.13369	 -0.34267	 9685.60900		 0.13263
8	 21	 9685.369	 1.15635	 2.4328e-03	 2.2624e-03	 9685.24961	 -0.11930	 9685.49527		 0.12636
8	 22	 9685.629	 1.04225	 2.3568e-03	 2.3086e-03	 9685.94011	 0.31061	 9685.39336		 -0.23613
8	 23	 9685.260	 1.06966	 2.3607e-03	 2.2825e-03	 9686.52932	 1.26960	 9685.47806		 0.21834
